Game Number,Date,Location,Winning Team,Winning Score,Losing Team,Losing Score,Winning Rank,Losing Rank
1,10/16/1897,Ann Arbor,Michigan,34,Ohio State,0,,
2,11/24/1900,Ann Arbor,Tie,0,Tie,0,,
3,11/9/1901,Columbus,Michigan,21,Ohio State,0,,
4,10/25/1902,Ann Arbor,Michigan,86,Ohio State,0,,
5,11/7/1903,Ann Arbor,Michigan,36,Ohio State,0,,
6,10/15/1904,Columbus,Michigan,31,Ohio State,6,,
7,11/11/1905,Ann Arbor,Michigan,40,Ohio State,0,,
8,10/20/1906,Columbus,Michigan,6,Ohio State,0,,
9,10/26/1907,Ann Arbor,Michigan,22,Ohio State,0,,
10,10/24/1908,Columbus,Michigan,10,Ohio State,6,,
11,10/16/1909,Ann Arbor,Michigan,33,Ohio State,6,,
12,10/22/1910,Columbus,Tie,3,Tie,3,,
13,10/21/1911,Ann Arbor,Michigan,19,Ohio State,0,,
14,10/19/1912,Columbus,Michigan,14,Ohio State,0,,
15,11/30/1918,Columbus,Michigan,14,Ohio State,0,,
16,10/25/1919,Ann Arbor,Ohio State,13,Michigan,3,,
17,11/6/1920,Columbus,Ohio State,14,Michigan,7,,
18,10/22/1921,Ann Arbor,Ohio State,14,Michigan,0,,
19,10/21/1922,Columbus,Michigan,19,Ohio State,0,,
20,10/20/1923,Ann Arbor,Michigan,23,Ohio State,0,,
21,11/15/1924,Columbus,Michigan,16,Ohio State,6,,
22,11/14/1925,Ann Arbor,Michigan,10,Ohio State,0,,
23,11/13/1926,Columbus,Michigan,17,Ohio State,16,,
24,10/22/1927,Ann Arbor,Michigan,21,Ohio State,0,,
25,10/20/1928,Columbus,Ohio State,19,Michigan,7,,
26,10/19/1929,Ann Arbor,Ohio State,7,Michigan,0,,
27,10/18/1930,Columbus,Michigan,13,Ohio State,0,,
28,10/17/1931,Ann Arbor,Ohio State,7,Michigan,0,,
29,10/15/1932,Columbus,Michigan,14,Ohio State,0,,
30,10/21/1933,Ann Arbor,Michigan,13,Ohio State,0,,
31,11/17/1934,Columbus,Ohio State,34,Michigan,0,,
32,11/23/1935,Ann Arbor,Ohio State,38,Michigan,0,,
33,11/21/1936,Columbus,Ohio State,21,Michigan,0,No. 18,
34,11/20/1937,Ann Arbor,Ohio State,21,Michigan,0,No. 19,
35,11/19/1938,Columbus,Michigan,18,Ohio State,0,No. 17,
36,11/25/1939,Ann Arbor,Michigan,21,Ohio State,14,No. 25,No. 6
37,11/23/1940,Columbus,Michigan,40,Ohio State,0,No. 7,
38,11/22/1941,Ann Arbor,Tie,20,Tie,20,,
39,11/21/1942,Columbus,Ohio State,21,Michigan,7,No. 5,No. 4
40,11/20/1943,Ann Arbor,Michigan,45,Ohio State,7,No. 4,
41,11/25/1944,Columbus,Ohio State,18,Michigan,14,No. 3,No. 6
42,11/24/1945,Ann Arbor,Michigan,7,Ohio State,3,No. 8,No. 7
43,11/23/1946,Columbus,Michigan,58,Ohio State,6,No. 8,
44,11/22/1947,Ann Arbor,Michigan,21,Ohio State,0,No. 1,
45,11/20/1948,Columbus,Michigan,13,Ohio State,3,No. 1,No. 18
46,11/19/1949,Ann Arbor,Tie,7,Tie,7,,
47,11/25/1950,Columbus,Michigan,9,Ohio State,3,,No. 8
48,11/24/1951,Ann Arbor,Michigan,7,Ohio State,0,,
49,11/22/1952,Columbus,Ohio State,27,Michigan,7,,No. 12
50,11/21/1953,Ann Arbor,Michigan,20,Ohio State,0,,
51,11/20/1954,Columbus,Ohio State,21,Michigan,7,No. 1,No. 12
52,11/19/1955,Ann Arbor,Ohio State,17,Michigan,0,No. 9,No. 6
53,11/24/1956,Columbus,Michigan,19,Ohio State,0,No. 9,No. 12
54,11/23/1957,Ann Arbor,Ohio State,31,Michigan,14,No. 3,No. 19
55,11/22/1958,Columbus,Ohio State,20,Michigan,14,No. 11,
56,11/21/1959,Ann Arbor,Michigan,23,Ohio State,14,,
57,11/19/1960,Columbus,Ohio State,7,Michigan,0,No. 10,
58,11/25/1961,Ann Arbor,Ohio State,50,Michigan,20,No. 2,
59,11/24/1962,Columbus,Ohio State,28,Michigan,0,,
60,11/30/1963,Ann Arbor,Ohio State,14,Michigan,10,,
61,11/21/1964,Columbus,Michigan,10,Ohio State,0,No. 6,No. 7
62,11/20/1965,Ann Arbor,Ohio State,9,Michigan,7,,
63,11/19/1966,Columbus,Michigan,17,Ohio State,3,,
64,11/25/1967,Ann Arbor,Ohio State,24,Michigan,14,,
65,11/23/1968,Columbus,Ohio State,50,Michigan,14,No. 2,No. 4
66,11/22/1969,Ann Arbor,Michigan,24,Ohio State,12,No. 12,No. 1
67,11/21/1970,Columbus,Ohio State,20,Michigan,9,No. 5,No. 4
68,11/20/1971,Ann Arbor,Michigan,10,Ohio State,7,No. 3,
69,11/25/1972,Columbus,Ohio State,14,Michigan,11,No. 9,No. 3
70,11/24/1973,Ann Arbor,Tie,10,Tie,10,,
71,11/23/1974,Columbus,Ohio State,12,Michigan,10,No. 4,No. 3
72,11/22/1975,Ann Arbor,Ohio State,21,Michigan,14,No. 1,No. 4
73,11/20/1976,Columbus,Michigan,22,Ohio State,0,No. 4,No. 8
74,11/19/1977,Ann Arbor,Michigan,14,Ohio State,6,No. 5,No. 4
75,11/25/1978,Columbus,Michigan,14,Ohio State,3,No. 6,No. 16
76,11/17/1979,Ann Arbor,Ohio State,18,Michigan,15,No. 2,No. 13
77,11/22/1980,Columbus,Michigan,9,Ohio State,3,No. 10,No. 5
78,11/21/1981,Ann Arbor,Ohio State,14,Michigan,9,,No. 7
79,11/20/1982,Columbus,Ohio State,24,Michigan,14,,No. 13
